,contexte_gauche,mention,contexte_droit,procédé_de_nommage,cible_mention,polarité_mention,positionnement_mention,cible_contexte,polarité_contexte,temporalité,positionnement_contexte,,FALSE
457,"La preuve, écrite noir sur blanc, a été découverte dans un ordinateur retrouvé fin mars, au lendemain des attentats bruxellois, dans une poubelle située à proximité d'une des dernières planques des djihadistes, rue Max-Roos, à Schaerbeek, une des communes de la capitale belge.Il y avait beaucoup de choses, dans ce petit portable : des testaments, des listes de cibles (",le quartier d'affaires de la Défense,", l'association intégriste Civitas, étrangement rangée dans un fichier intitulé  « jeunesse catholique, royaliste, punk »  )",type lieu,économie,neutre,pris en charge,événement,négatif,présent,pris en charge,,
458,"Un «  véritable brainstorming		» grince un policier tant la liste des cibles est touffue, allant jusqu'à imaginer le kidnapping «  d'une ou deux têtes  » afin de négocier la libération de «  frères  » et de «  soeurs  » .Dans un fichier «  13 novembre  » , figurait ",le quartier d'affaires de la Défense," ou encore l'association intégriste Civitas classée dans une rubrique intitulée «  jeunesse catholique, royaliste, punk  » .		 ",type lieu,économie,neutre,pris en charge,événement,négatif,présent,pris en charge,,
459,"Un beau réseau S'agissant de la vente à emporter version 2.0, le « click and collect »dans le jargon des professionnels, son application mobile comportera une nouvelle fonctionnalité qui permettra d'accéder à plus de 500 restaurants situés dans Paris intra-muros",ou le quartier d'affaires de la Défense,", un beau réseau pour un démarrage.",type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,,
460,,"La Défense, laboratoire d'idées pour utiliser et rentabiliser ses sous-sols
     ",,métaphore,changement/économie,positif,pris en charge,urbanisme,positif,présent,pris en charge,,
461,"URBANISME  À l'heure où l'étalement urbain n'est plus de mise, les grandes villes n'ont que deux solutions pour offrir plus de logements ou plus de services sans grignoter d'espace supplémentaire : s'élancer vers les hauteurs ou utiliser des surfaces longtemps négligées, les sous-sols.",Le quartier d'affaires de la Défense,concentre depuis longtemps l'essentiel des gratte-ciel français mais ne se préoccupe pas moins depuis plusieurs années du devenir des espaces situés sous sa dalle de béton.,type lieu,économie,neutre,pris en charge,urbanisme,neutre,futur,pris en charge,,
462,"Bien avant que la capitale ne lance son appel à projets « Réinventer Paris II, révolution en sous-sol » , Paris-la Défense, l'établissement public local qui gère",le quartier d'affaires," (et ses prédécesseurs Defacto et l'Epadesa qui ont fusionné en mars 2018), se préoccupait de cette partie de son patrimoine.		",type lieu,économie,neutre,pris en charge,urbanisme,neutre,futur,pris en charge,,
463,"«Pour être tout à fait précis, il ne s'agit pas de sous-sol mais de volumes sous dalle, on reste bien dans un bâtiment »  , précise Marie-Célie Guillaume, directrice générale de Paris",-la Défense,.,norme,NA,NA,NA,urbanisme,neutre,présent,cité,,
464,"Et justement, les parkings, la dalle de béton et les zones sous dalle sont le seul patrimoine que possède cet établissement.		 « À l'origine, l'Établissement public pour l'aménagement de la région ",de la Défense,"(Epad) avait été créé pour une période limitée,  rappelle Marie-Célie Guillaume.",norme,NA,NA,NA,administration,neutre,passé,cité,,
466,"Les Quatre Temps, la structure admet tendre peu à peu vers		« une forme d'asset manager »  .Il s'agit donc de trouver les meilleures façons de valoriser un patrimoine atypique tout en faisant ",du quartier d'affaires,"un lieu de vie, une destination culturelle, sportive et de loisirs en plus du lieu de travail qu'il est naturellement.",type lieu,économie,neutre,pris en charge,quotidien,positif,futur,pris en charge,,
467,"Il s'agit donc de trouver les meilleures façons de valoriser un patrimoine atypique tout en faisant du quartier d'affaires un lieu de vie, une destination culturelle, sportive et de loisirs en plus du lieu de travail qu'il est naturellement.Pour ce faire,",la Défense, reconnaît avoir commencé avec  « le plus facile		» .		 ,norme,NA,NA,NA,quotidien,neutre,présent,pris en charge,,
470,"Pour ne pas rebuter les investisseurs, Paris-",La Défense,leur a proposé d'associer un espace en surface à un espace sous la dalle.,norme,NA,NA,NA,économie,positif,présent,pris en charge,,
473,-La Défense leur a proposé d'associer un espace en surface à un espace sous la dalle.C'est ainsi qu'Oxygen a déjà largement pris forme à l'extrémité,de la Défense,la plus proche de Paris.,norme,NA,NA,NA,urbanisme,neutre,présent,pris en charge,,
476,"Et de manière comparable, Table Square, développé par Urban Renaissance (ex-Banimmo France), doit être inauguré cet été, au pied des tours Coeur Défenseet Opus 12.Il s'agira cette fois-ci, toujours en surface et sous la dalle, d'offrir sur 4 500 m2 une offre d'alimentation haut de gamme faisant défaut",dans le quartier allant du snack à la bistronomie et jusqu'au restaurant gastronomique,.,type lieu,espace de vie,positif,pris en charge,urbanisme,positif,présent,pris en charge,,
477,"À chaque fois, Paris-",La Défense, sera associé au succès de ces nouvelles enseignes en percevant un pourcentage sur le chiffre d'affaires.		,norme,NA,NA,NA,économie,positif,futur,pris en charge,,
478,Et pour l'avenir ?Place aux plus audacieux.,La Défense,recèle encore de milliers de mètres carrés inexploités et qui ne sont même pas tous parfaitement répertoriés ou cartographiés.,norme,NA,NA,NA,urbanisme,neutre,présent,pris en charge,,
480,"La Défense recèle encore de milliers de mètres carrés inexploités et qui ne sont même pas tous parfaitement répertoriés ou cartographiés.Parmi les plus célèbres : la « Cathédrale » , un espace de 6 400 m2 avec 12 m de hauteur sous plafond, inutilisé depuis la création",du quartier,.,type lieu,urbanisme,neutre,pris en charge,urbanisme,neutre,présent,pris en charge,,
483,"Les possibilités et les défis ne manquent pas, «		mais le plus délicat, c'est de faire que les Parisiens viennent ici »  , avoue Marie-Célie Guillaume dans un sourire.		 En attendant d'occuper tous ses sous-sols, le prochain défi ",de la Défense, sera de transformer son immense esplanade en un vaste		« parc urbain »  .,norme,NA,NA,NA,urbanisme,neutre,futur,pris en charge,,
485,"En attendant d'occuper tous ses sous-sols, le prochain défi de la Défense sera de transformer son immense esplanade en un vaste		« parc urbain »  .Une consultation en ce sens est lancée jusqu'en mai auprès des utilisateurs ",du quartier, pour exprimer leurs envies pour la création d'un nouvel espace végétalisé de 7 hectares.		 ,type lieu,urbanisme,neutre,pris en charge,urbanisme,neutre,futur,pris en charge,,
486,"Une consultation en ce sens est lancée jusqu'en mai auprès des utilisateurs du quartier pour exprimer leurs envies pour la création d'un nouvel espace végétalisé de 7 hectares.		 La vente de droits à construire n'est pas éternelle et ne suffit pas, il nous faut trouver des recettes supplémentaires tout en créant un modèle économique pérenneMARIE-CÉLIE GUILLAUME, DIRECTRICE GÉNÉRALE DE PARIS","-LA DÉFENSE
     ",,norme,NA,NA,NA,économie,neutre,futur,cité,,
487,"A la différence d'autres membres du commando, les deux terroristes ne s'étaient pas fait exploser en kamikazes au soir du 13 novembre.		« Propos contradictoires » Les investigations judiciaires ont démontré qu'ils avaient probablement l'intention de poursuivre les massacres, en commettant une autre attaque, les jours suivants, possiblement dans ",le quartier d'affaires de la Défense,.,type lieu,économie,neutre,pris en charge,événement,négatif,présent,pris en charge,,
488,"Désormais, elle est cantonnée à de rares secteurs comme le juridique ou la finance.Même à",la Défense[le quartier d'affaires parisien,", ndlr],  on en voit moins.",type lieu/référence géographique,économie/localisation,neutre,pris en charge,NA,NA,NA,NA,,
490,Une énième tour,à la Défense,?,norme,NA,NA,NA,urbanisme,neutre,futur,pris en charge,,
494,"- nous paraissaient très importants en matière d'immobilier d'entreprise et d'expérience utilisateur,  précise Diane de Longueval, responsable du projet chez Hines.  Nous voulions des profils 'jeunes', entrepreneurs, de ceux qui sortent du cadre, et représentent une population très peu présente",à la Défense,", afin de pouvoir identifier ce qui va et ce qui ne va pas.",norme,NA,NA,NA,NA,NA,NA,NA,,
498,Dans,le  quartier d'affaires de  la Défense,", le gratte-ciel se réinvente  A l'image de la tour Hekla, les nombreux immeubles qui renouvellent le pôle des Hauts-de-Seine se veulent flexibles et ouverts sur l'extérieur",type lieu,économie,neutre,pris en charge,urbanisme,positif,présent,pris en charge,,
501,"Ses façades découpées en prismes de verre s'élanceront jusqu'à 220 mètres de haut, couronnées au dernier étage par un jardin sous une verrière.La tour Hekla, dont la première pierre a été posée lundi 17 juin",à la Défense (Hauts-de-Seine,"), marque l'arrivée de l'architecte Jean Nouvel dans la collection de gratte-ciel du quartier d'affaires après plusieurs projets avortés.",référence géographique,localisation,neutre,pris en charge,urbanisme,neutre,présent,pris en charge,,
502,"Ses façades découpées en prismes de verre s'élanceront jusqu'à 220 mètres de haut, couronnées au dernier étage par un jardin sous une verrière.La tour Hekla, dont la première pierre a été posée lundi 17 juin à la Défense (Hauts-de-Seine), marque l'arrivée de l'architecte Jean Nouvel dans la collection de gratte-ciel",du quartier d'affaires,après plusieurs projets avortés.,type lieu,économie,neutre,pris en charge,urbanisme,neutre,présent,pris en charge,,
503,"La tour Hekla, dont la première pierre a été posée lundi 17 juin à la Défense (Hauts-de-Seine), marque l'arrivée de l'architecte Jean Nouvel dans la collection de gratte-ciel du quartier d'affaires après plusieurs projets avortés.Elle témoigne aussi de la vitalité",de la Défense," et de la réinvention du modèle de la tour de bureaux, pour s'adapter aux nouveaux modes de travail.		",norme,NA,NA,NA,urbanisme,positif,présent,pris en charge,,
508,"Au-delà d'Hekla, les tours Alto (160 mètres), Trinity (176 mètres) et Saint-Gobain (178 mètres) sont en chantier, et deux projets de tours jumelles, The Link (244 et 176 mètres) et Sisters (229 et 131 mètres), sont lancés.De quoi renouveler sensiblement la skyline",du quartier d'affaires,.,type lieu,économie,neutre,pris en charge,urbanisme,positif,présent,pris en charge,,
509,"« On a dit un moment que la tour c'était fini, que la mode était aux campus de bureaux horizontaux.Or, on s'aperçoit que la verticalité garde toute son attractivité », estime Marie-Célie Guillaume, la directrice générale de l'établissement public Paris",la Défense.,,norme,NA,NA,NA,urbanisme,positif,présent,cité,,
510,"Or, on s'aperçoit que la verticalité garde toute son attractivité », estime Marie-Célie Guillaume, la directrice générale de l'établissement public Paris la Défense.Pas de mystère : il faut monter Point fort",du quartier d'affaires,et de sa concentration verticale: sa centralité.,type lieu,économie,neutre,pris en charge,urbanisme,positif,présent,pris en charge,,
513,"« Pendant longtemps, les tours ont été des objets fermés, très introvertis.Aujourd'hui, on cherche à ouvrir au moins les pieds [des gratte-ciel], à y amener du commerce : les tours aussi contribuent à transformer",le quartier," en lieu de vie », apprécie la directrice générale de Paris la Défense.		",type lieu,urbanisme,neutre,pris en charge,immobilier,positif,futur,cité,,
514,"« Pendant longtemps, les tours ont été des objets fermés, très introvertis.Aujourd'hui, on cherche à ouvrir au moins les pieds [des gratte-ciel], à y amener du commerce : les tours aussi contribuent à transformer le quartier en lieu de vie », apprécie la directrice générale de Paris",la Défense,.		,norme,NA,NA,NA,immobilier,positif,futur,cité,,
